"name","format","role","file","source_project","source_commit","source_url","license_record","terms_url","redistribution","size","sha256","expected_use"
"enigma-covariates","CSV","subject design","cov.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/xdata/cov.csv","ENIGMA Toolbox BSD-3-Clause; example-data terms are not separately stated","https://enigma-toolbox.readthedocs.io/en/stable/pages/03.loadct/index.html","download-only","721","a3fbf337d7ceeec991cd311446fb8f8eaea2f27d520e7a8aa83994d0267af1a4","exact subject IDs, diagnosis, age and sex; no exclusions"
"enigma-cortical-thickness","CSV","subject by DK cortical thickness","metr2_CortThick.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/xdata/metr2_CortThick.csv","ENIGMA Toolbox BSD-3-Clause; example-data terms are not separately stated","https://enigma-toolbox.readthedocs.io/en/stable/pages/03.loadct/index.html","download-only","10813","e2f01ca868ab4c3de11582a66e60d9ed9ece5b48a7346caa16144333761ec294","20 subjects by 68 Desikan-Killiany thickness maps"
"enigma-cortical-area","CSV","subject by DK cortical surface area","metr3_CortSurf.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/xdata/metr3_CortSurf.csv","ENIGMA Toolbox BSD-3-Clause; example-data terms are not separately stated","https://enigma-toolbox.readthedocs.io/en/stable/pages/03.loadct/index.html","download-only","9167","30b083d72a39ebc97c7274405ab944f855b670e58073c67dcd1457b6cb7f2656","20 subjects by 68 DK area totals converted to template-support density"
"enigma-conte69-left","GIFTI","left Conte69 anatomical surface","conte69_32k_lh.gii","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/surfaces/conte69_32k_lh.gii","ENIGMA Toolbox BSD-3-Clause","https://github.com/MICA-MNI/ENIGMA/blob/b08974b55243060cbc1fad12c87048037446e8f7/LICENSE","download-only","927862","227a092f5001d570f331428c22847b23cbced535578dd713b9739e6b9b0e2225","real left cortical geometry and topology"
"enigma-conte69-right","GIFTI","right Conte69 anatomical surface","conte69_32k_rh.gii","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/surfaces/conte69_32k_rh.gii","ENIGMA Toolbox BSD-3-Clause","https://github.com/MICA-MNI/ENIGMA/blob/b08974b55243060cbc1fad12c87048037446e8f7/LICENSE","download-only","915233","3279b4c7f26f0f8919a44f7179653c6c1df112907180395ca69bc63ac234a032","real right cortical geometry and topology"
"enigma-aparc-conte69","CSV","DK68 vertex labels","aparc_conte69.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/parcellations/aparc_conte69.csv","ENIGMA Toolbox BSD-3-Clause; Desikan-Killiany atlas citation required","https://enigma-toolbox.readthedocs.io/en/stable/pages/03.loadct/index.html","download-only","183533","7c2aa12fcbe956d12963549980c1381a14341f663951aa9948e6458050cbe2a7","DK source support and piecewise-constant lift"
"enigma-schaefer100-conte69","CSV","Schaefer100 vertex labels","schaefer_100_conte69.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/parcellations/schaefer_100_conte69.csv","ENIGMA Toolbox BSD-3-Clause; Schaefer 2018 atlas citation required","https://github.com/MICA-MNI/ENIGMA/blob/b08974b55243060cbc1fad12c87048037446e8f7/LICENSE","download-only","185460","181da9662d57bdf814bf67b8e32c06885ba398419985b03681c20f762a21b258","first alternative support"
"enigma-schaefer200-conte69","CSV","Schaefer200 vertex labels","schaefer_200_conte69.csv","ENIGMA Toolbox","b08974b55243060cbc1fad12c87048037446e8f7","https://raw.githubusercontent.com/MICA-MNI/ENIGMA/b08974b55243060cbc1fad12c87048037446e8f7/enigmatoolbox/datasets/parcellations/schaefer_200_conte69.csv","ENIGMA Toolbox BSD-3-Clause; Schaefer 2018 atlas citation required","https://github.com/MICA-MNI/ENIGMA/blob/b08974b55243060cbc1fad12c87048037446e8f7/LICENSE","download-only","216813","7c312edafb5402aa5fd96082848dece1e9fc8559bf526476eef984c1bda4d4a3","second alternative support"
