"name","format","role","file","source_project","source_version","source_commit","source_url","license_record","terms_url","redistribution","size","sha256","expected_use"
"conte69-dtseries-32k","CIFTI-2 dtseries","dense time-series axis","Conte69.MyelinAndCorrThickness.32k_fs_LR.dtseries.nii","ciftiTools","0.19.0","b3588b17b87a341a8bb2947fa595e63b05816947","https://raw.githubusercontent.com/cran/ciftiTools/b3588b17b87a341a8bb2947fa595e63b05816947/inst/extdata/Conte69.MyelinAndCorrThickness.32k_fs_LR.dtseries.nii","Conte69 test data; upstream package GPL-3","https://www.humanconnectome.org/storage/app/media/documentation/data_release/DataUseTerms-Connectome-Workbench-Beta-23may2012.pdf","download-only","837864","03075626dfe7742dc9c1c150c26b229d5f74cdd84db55c61a81f38965c153217","file-backed map/time selection and bounded round-trip"
"conte69-dscalar-6k","CIFTI-2 dscalar","dense scalar maps","Conte69.MyelinAndCorrThickness.6k_fs_LR.dscalar.nii","ciftiTools","0.19.0","b3588b17b87a341a8bb2947fa595e63b05816947","https://raw.githubusercontent.com/cran/ciftiTools/b3588b17b87a341a8bb2947fa595e63b05816947/inst/extdata/Conte69.MyelinAndCorrThickness.6k_fs_LR.dscalar.nii","Conte69 test data; upstream package GPL-3","https://www.humanconnectome.org/storage/app/media/documentation/data_release/DataUseTerms-Connectome-Workbench-Beta-23may2012.pdf","download-only","145712","fbd14986f5c47c221403dae0172270792aee867254bfe5906a6550e3d901ead9","brain-model ordering and scalar round-trip"
"conte69-dlabel-6k","CIFTI-2 dlabel","dense atlas labels","Conte69.parcellations_VGD11b.6k_fs_LR.dlabel.nii","ciftiTools","0.19.0","b3588b17b87a341a8bb2947fa595e63b05816947","https://raw.githubusercontent.com/cran/ciftiTools/b3588b17b87a341a8bb2947fa595e63b05816947/inst/extdata/Conte69.parcellations_VGD11b.6k_fs_LR.dlabel.nii","Conte69 atlas; upstream package GPL-3","https://www.humanconnectome.org/storage/app/media/documentation/data_release/DataUseTerms-Connectome-Workbench-Beta-23may2012.pdf","download-only","228240","abd048a2e8fc100c4182df95ec56f2a6e156b5dcf92478b87a0c1c121ceda531","label-table round-trip and atlas/change-of-support"
"hcp-s1200-left-inflated-32k","GIFTI","left surface geometry","S1200.L.inflated_MSMAll.32k_fs_LR.surf.gii","ciftiTools","0.19.0","b3588b17b87a341a8bb2947fa595e63b05816947","https://raw.githubusercontent.com/cran/ciftiTools/b3588b17b87a341a8bb2947fa595e63b05816947/inst/extdata/S1200.L.inflated_MSMAll.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","880169","6a66a41a0be0190e252e895677a85181c3805852f71b49c93946105c993aed35","32k surface topology, GIFTI and generated FreeSurfer round-trip"
"hcp-s1200-right-inflated-32k","GIFTI","right surface geometry","S1200.R.inflated_MSMAll.32k_fs_LR.surf.gii","ciftiTools","0.19.0","b3588b17b87a341a8bb2947fa595e63b05816947","https://raw.githubusercontent.com/cran/ciftiTools/b3588b17b87a341a8bb2947fa595e63b05816947/inst/extdata/S1200.R.inflated_MSMAll.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","867442","6b8a833e32e6a30e40921b0c043a46c4b322ca84b34c8ea038637a0d7e1704dd","32k bilateral surface identity and alignment"
"freesurferformats-brain-mgz","FreeSurfer MGZ","real volume","brain.mgz","freesurferformats","1.0.1","bc1991f67e9a9b34a9bb52a6168653aa017df9ff","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/inst/extdata/brain.mgz","MIT package fixture","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/LICENSE","download-only","1441225","7d36a634008af4058277f491d991d7e60549529500210730fcc78a244454f1f1","file-backed MGZ affine and bounded reads"
