"name","format","role","file","source_project","source_version","source_commit","source_url","license","size","sha256","expected_use"
"rnifti-example","NIfTI-1","volume","nifti/example.nii.gz","RNifti","1.9.0","b49e951890d6b847a9de2f4d185b7cb495d71e13","https://raw.githubusercontent.com/cran/RNifti/b49e951890d6b847a9de2f4d185b7cb495d71e13/inst/extdata/example.nii.gz","GPL-2.0-only","183830","6885af4ef16c7c161d04893d84b8faf8fabad11d78f3adb33a71c7f4e6c910b4","positive read and round-trip"
"freesurferformats-cube","GIFTI","surface geometry","gifti/cube.surf.gii","freesurferformats","1.0.1","bc1991f67e9a9b34a9bb52a6168653aa017df9ff","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/inst/extdata/cube.gii","MIT","880","809b986faa9d35b7558183408178bf0e265150ae42f60157c1e4e11075aff430","positive geometry and writer round-trip"
"cifti-curvature-fslr32k","CIFTI-2 dscalar","surface scalar","cifti/curvature.32k_fs_LR.dscalar.nii","cifti","0.5.0","3ec697267bf1bd43a1500b95bd350d3712f89641","https://raw.githubusercontent.com/cran/cifti/3ec697267bf1bd43a1500b95bd350d3712f89641/inst/extdata/curvature.32k_fs_LR.dscalar.nii","GPL-2.0-only","581168","e67e80543f85d1614c48d68699cacef38319291dc653934943352256b907827a","positive read and round-trip"
"freesurfer-tiny-surface","FreeSurfer surface","malformed surface","freesurfer/lh.tinysurface","freesurferformats","1.0.1","bc1991f67e9a9b34a9bb52a6168653aa017df9ff","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/inst/extdata/lh.tinysurface","MIT","147","38ecbcb09c1ed7f8c62db57447cd28496371ef8dbd8eaa2824fa4526f5e7e2f1","negative repeated-face topology"
"freesurfer-tiny-morph","FreeSurfer curv","surface metric","freesurfer/tiny_morph.curv","freesurferformats","1.0.1","bc1991f67e9a9b34a9bb52a6168653aa017df9ff","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/inst/extdata/tiny_morph.curv","MIT","215","66e2ff166e90eb74c011ed8f5016358092d5a9dd6b6aa3ec52d425a0c6a8b57f","negative geometry alignment"
"freesurfer-tiny-mgh","FreeSurfer MGH","volume without RAS affine","freesurfer/tiny.mgh","freesurferformats","1.0.1","bc1991f67e9a9b34a9bb52a6168653aa017df9ff","https://raw.githubusercontent.com/cran/freesurferformats/bc1991f67e9a9b34a9bb52a6168653aa017df9ff/inst/extdata/tiny.mgh","MIT","412","9be87fec8d80fa249e05a9338871a6220e6eb76f1ab6066bf39ca93a05842f3b","explicit-affine read and round-trip"
