"name","format","role","file","provider","source_version","source_url","license_record","terms_url","redistribution","size","sha256","use"
"hcp-s1200-left-flat-32k","GIFTI","left flat chart","S1200.L.flat.32k_fs_LR.surf.gii","MNI BIC noel-myelin","2019-09-24","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/S1200.L.flat.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","538686","1862739a2924032a9a19e95efa6024c494094c2f7851ae45b11d6bf2e38dfca4","verified left cortical flat chart"
"hcp-s1200-right-flat-32k","GIFTI","right flat chart","S1200.R.flat.32k_fs_LR.surf.gii","MNI BIC noel-myelin","2019-09-24","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/S1200.R.flat.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","527373","db135bb704cd4ab0664fc2b4e97abef705f368948e4f514010905e850f9bf005","verified right cortical flat chart"
"hcp-s1200-left-midthickness-32k","GIFTI","left anatomical surface","S1200.L.midthickness_MSMAll.32k_fs_LR.surf.gii","MNI BIC noel-myelin","2019-09-24","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/S1200.L.midthickness_MSMAll.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","1822938","2a42c69cd906397bc115749511a05d796867dd67dc2bc092147c1d93527c2da6","3D source geometry and curvature underlay"
"hcp-s1200-right-midthickness-32k","GIFTI","right anatomical surface","S1200.R.midthickness_MSMAll.32k_fs_LR.surf.gii","MNI BIC noel-myelin","2019-09-24","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/S1200.R.midthickness_MSMAll.32k_fs_LR.surf.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","1810275","1673ebc509182061ba9da0a5e74477faa79fbaf89804d97f3b4f06aea501b06c","3D source geometry and curvature underlay"
"hcp-s1200-left-atlasroi-32k","GIFTI","left cortical mask","L.atlasroi.32k_fs_LR.shape.gii","MNI BIC noel-myelin","2020-06-22","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/L.atlasroi.32k_fs_LR.shape.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","3510","4ac9199dab151ccdc2a35bdddb5bac4f4907da7dfebd90807c09b82e2eb9d512","medial-wall exclusion"
"hcp-s1200-right-atlasroi-32k","GIFTI","right cortical mask","R.atlasroi.32k_fs_LR.shape.gii","MNI BIC noel-myelin","2020-06-22","https://www.bic.mni.mcgill.ca/~noel/noel-myelin/cortical_surface/conte69_32k/R.atlasroi.32k_fs_LR.shape.gii","HCP Open Access Data Use Terms","https://www.humanconnectome.org/study/hcp-young-adult/document/wu-minn-hcp-consortium-open-access-data-use-terms","download-only","3539","698f46b399f5a89829f83cc697e32dc8841031fbf31ffef75aaaa0c4a16c3015","medial-wall exclusion"
"schaefer100-conte69-left","GIFTI label","left atlas membership","schaefer-100_conte69_lh.label.gii","MICA-MNI micapipe","4227ee660f216387df4310088dde026d1278dd8e","https://raw.githubusercontent.com/MICA-MNI/micapipe/4227ee660f216387df4310088dde026d1278dd8e/parcellations/schaefer-100_conte69_lh.label.gii","micapipe GPL-3.0; Schaefer 2018 atlas","https://github.com/MICA-MNI/micapipe/blob/4227ee660f216387df4310088dde026d1278dd8e/LICENSE","download-only","20056","de540d7e5c1fb5ac4b27f67e2019e4baab55433b9d6db9bb66ba3713f7ab6d1a","real arbitrary-atlas overlay and label-table colors"
"schaefer100-conte69-right","GIFTI label","right atlas membership","schaefer-100_conte69_rh.label.gii","MICA-MNI micapipe","4227ee660f216387df4310088dde026d1278dd8e","https://raw.githubusercontent.com/MICA-MNI/micapipe/4227ee660f216387df4310088dde026d1278dd8e/parcellations/schaefer-100_conte69_rh.label.gii","micapipe GPL-3.0; Schaefer 2018 atlas","https://github.com/MICA-MNI/micapipe/blob/4227ee660f216387df4310088dde026d1278dd8e/LICENSE","download-only","20245","eac22aa3bc38dc58605cb731cd6c1056d99848875d4d63012fe5f3fc190317ae","real arbitrary-atlas overlay and label-table colors"
