"fixture_id","format","workflow","path","origin","license","version","redistribution","offline_strategy","online_strategy","expected_result","size_bytes","sha256"
"point-grid","CSV","quickstart","inst/extdata/golden/tiny-point-grid.csv","synthetic neurogeo 6.0 fixture corpus","CC0-1.0","6.0.0","bundled","installed package extdata","immutable neurogeo release archive","9 points; one intensive signal layer; finite Moran statistic",163,"9023273408303de14e1330322b7899011d590c936f2e35cbd19a312e2860cdea"
"nifti-volume","NIfTI-1","volume","inst/extdata/golden/tiny.nii.gz","synthetic neurogeo 6.0 fixture corpus","CC0-1.0","6.0.0","bundled","installed package extdata","immutable neurogeo release archive","2x2x2 lattice; two value layers; affine diagonal 2/3/4 mm",129,"2abdd2505e4e96cbeab76c4cee9912da4df95e56e57e64117ce0818b31db9167"
"gifti-surface","GIFTI","surface","inst/extdata/golden/tetra.surf.gii","synthetic neurogeo 6.0 fixture corpus","CC0-1.0","6.0.0","bundled","installed package extdata","immutable neurogeo release archive","4 vertices; 4 triangular faces; millimetre surface coordinates",851,"2f8c2d3ae36fca8e0cd87dd5ea007bf8fca309b7abce2820c16e97ccad4e97c6"
"cifti-grayordinate","CIFTI-2","grayordinate","inst/extdata/golden/tiny.dscalar.nii","synthetic neurogeo 6.0 fixture corpus","CC0-1.0","6.0.0","bundled","installed package extdata","immutable neurogeo release archive","6 grayordinates; left/right cortex plus left thalamus; two scalar layers",1792,"408e647738e420aa0935a5f59d0fd29fb70edd1ad5ba90294612b16007745f36"
"roi-cohort","CSV","ROI/cohort","inst/extdata/golden/tiny-roi-cohort.csv","synthetic neurogeo 6.0 fixture corpus","CC0-1.0","6.0.0","bundled","installed package extdata","immutable neurogeo release archive","6 subjects; two groups; four ROI columns",270,"427e9fe03d3592bd16a5bb4f57af37369fb492fd52437587a3918382850b0317"
